epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8763.96,0.85118,0.64028,1.41143,0.85657,0.84468,0.87508,0.615,1.21432,0.60315,2.21094,0.000268806,0.000268806,0.000268806
81,8873.98,0.8467,0.62831,1.40738,0.8502,0.8416,0.86537,0.60376,1.23646,0.63616,2.24672,0.0002575,0.0002575,0.0002575
82,8984.05,0.84365,0.63853,1.40638,0.84456,0.85387,0.87355,0.60972,1.2215,0.6172,2.24035,0.000246363,0.000246363,0.000246363
83,9093.93,0.83993,0.61508,1.40294,0.86975,0.81534,0.86992,0.60753,1.20949,0.64285,2.2235,0.000235404,0.000235404,0.000235404
84,9204.24,0.84497,0.61413,1.4111,0.83135,0.8644,0.8736,0.60385,1.23594,0.61113,2.2695,0.000224629,0.000224629,0.000224629
85,9310.21,0.83851,0.61591,1.39971,0.84696,0.84641,0.87483,0.61726,1.21123,0.6017,2.21484,0.000214046,0.000214046,0.000214046
86,9415.88,0.83652,0.61137,1.39967,0.83518,0.8377,0.85689,0.59693,1.26059,0.59865,2.30236,0.000203663,0.000203663,0.000203663
87,9522.87,0.84091,0.59821,1.39808,0.85393,0.84498,0.88196,0.619,1.21325,0.58338,2.22756,0.000193486,0.000193486,0.000193486
88,9628.91,0.83776,0.61868,1.39741,0.82682,0.86769,0.85453,0.59337,1.25994,0.66797,2.31213,0.000183523,0.000183523,0.000183523
89,9736.61,0.83082,0.60848,1.39268,0.85525,0.84631,0.87536,0.6049,1.26708,0.63185,2.32312,0.00017378,0.00017378,0.00017378
90,9848.43,0.83667,0.63085,1.38666,0.8646,0.84015,0.8695,0.60226,1.25128,0.62982,2.29397,0.000164264,0.000164264,0.000164264
91,9959.33,0.83032,0.60561,1.38985,0.85744,0.82847,0.86421,0.60968,1.23435,0.60433,2.26834,0.000154982,0.000154982,0.000154982
92,10069.5,0.82691,0.58951,1.38817,0.86181,0.83551,0.87196,0.60366,1.25531,0.62123,2.30652,0.00014594,0.00014594,0.00014594
93,10179.8,0.8279,0.6108,1.39447,0.85276,0.83602,0.86606,0.60373,1.26709,0.62145,2.33227,0.000137143,0.000137143,0.000137143
94,10289.9,0.82295,0.59482,1.38673,0.83093,0.85032,0.86129,0.60566,1.23451,0.63386,2.27095,0.000128599,0.000128599,0.000128599
95,10399.4,0.83066,0.60478,1.38821,0.85138,0.82565,0.86897,0.60603,1.23954,0.64074,2.27871,0.000120313,0.000120313,0.000120313
96,10509.1,0.82125,0.59515,1.38462,0.85257,0.84729,0.87386,0.60746,1.22859,0.62009,2.2734,0.00011229,0.00011229,0.00011229
97,10618.9,0.83808,0.6077,1.39387,0.86599,0.84096,0.87902,0.61096,1.24101,0.62432,2.2857,0.000104537,0.000104537,0.000104537
98,10728.9,0.8258,0.60948,1.38458,0.85028,0.85295,0.87499,0.60273,1.2686,0.63574,2.33052,9.70575e-05,9.70575e-05,9.70575e-05
